From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Norway,Switzerland,22,17,20,25,18,20,9,14,"
"
Norway,Hungary,12,8,14,12,19,14,18,16,"
"
Norway,Malta,13,6,16,1,9,9,11,11,"
"
Norway,Denmark,17,18,24,8,6,15,5,10,1
Norway,The Netherlands,1,11,3,2,3,1,3,1,12
Norway,San Marino,23,25,19,18,25,25,22,25,"
"
Norway,United Kingdom,4,10,6,9,13,8,10,8,3
Poland,Ukraine,9,14,18,17,17,16,3,6,5
Poland,Belarus,17,13,13,20,18,18,8,14,"
"
Poland,Azerbaijan,8,15,21,7,7,10,23,19,"
"
Poland,Iceland,15,23,3,12,15,12,18,15,"
"
Poland,Norway,7,6,5,13,4,5,12,4,7
Poland,Romania,25,24,14,19,21,22,17,23,"
"
Poland,Armenia,18,11,23,10,12,15,7,10,1
Poland,Montenegro,19,21,19,16,23,21,25,24,"
"
Poland,Greece,6,25,25,25,25,23,9,17,"
"
Poland,Austria,24,18,7,18,16,19,4,11,"
"
Poland,Germany,5,8,17,5,5,7,5,3,8
Poland,Sweden,10,16,22,11,13,13,6,7,4
Poland,France,16,17,6,14,11,11,20,16,"
"
Poland,Russia,20,19,11,23,20,20,14,20,"
"
Poland,Italy,21,20,20,24,24,24,24,25,"
"
Poland,Slovenia,23,10,10,15,22,17,15,18,"
"
Poland,Finland,4,3,4,8,8,3,16,8,3
Poland,Spain,14,7,16,6,6,9,11,9,2
Poland,Switzerland,2,5,9,9,2,4,1,2,10
Poland,Hungary,13,4,8,4,10,6,19,13,"
"
Poland,Malta,3,2,2,2,3,2,22,12,"
"
Poland,Denmark,12,9,12,3,9,8,10,5,6
Poland,The Netherlands,1,1,1,1,1,1,2,1,12
Poland,San Marino,22,22,24,22,19,25,13,22,"
"
Poland,United Kingdom,11,12,15,21,14,14,21,21,"
"
Portugal,Ukraine,19,21,15,18,19,20,4,12,"
"
Portugal,Belarus,17,12,18,13,23,16,23,23,"
"
Portugal,Azerbaijan,13,1,7,9,6,7,26,17,"
"
Portugal,Iceland,20,11,21,16,21,19,22,24,"
"
Portugal,Norway,18,7,3,10,4,8,13,8,3
Portugal,Romania,21,24,17,23,20,22,2,10,1
Portugal,Armenia,8,5,10,2,7,5,14,7,4
Portugal,Montenegro,14,13,12,8,3,10,18,14,"
"
Portugal,Poland,24,23,25,17,26,23,16,22,"
"
Portugal,Greece,23,25,19,26,25,24,19,25,"
"
Portugal,Austria,9,4,20,1,1,6,1,1,12
Portugal,Germany,12,14,8,7,10,11,20,15,"
"
Portugal,Sweden,1,10,6,6,5,3,6,3,8
Portugal,France,26,22,24,25,24,26,24,26,"
"
Portugal,Russia,6,18,16,19,16,15,7,9,2
Portugal,Italy,25,9,13,21,17,18,17,20,"
"
Portugal,Slovenia,11,15,14,12,9,12,25,21,"
"
Portugal,Finland,15,20,23,15,12,17,15,16,"
"
Portugal,Spain,16,19,22,20,15,21,3,11,"
"
Portugal,Switzerland,4,6,4,5,11,4,8,4,7
Portugal,Hungary,3,3,2,3,2,1,12,5,6
Portugal,Malta,7,16,11,11,18,13,21,18,"
"
Portugal,Denmark,5,8,9,14,13,9,9,6,5
Portugal,The Netherlands,2,2,1,4,8,2,5,2,10
Portugal,San Marino,22,26,26,24,22,25,10,19,"
"
Portugal,United Kingdom,10,17,5,22,14,14,11,13,"
"
Romania,Ukraine,11,13,13,13,8,14,10,11,"
"
Romania,Belarus,10,10,14,6,9,10,15,13,"
"
Romania,Azerbaijan,17,19,11,19,16,18,25,22,"
"
Romania,Iceland,7,25,23,25,22,21,23,24,"
"
Romania,Norway,23,9,3,7,5,9,9,10,1
Romania,Armenia,20,5,10,3,4,6,4,4,7
Romania,Montenegro,19,11,18,21,20,19,22,21,"
"
Romania,Poland,22,23,19,23,23,23,21,23,"
"
Romania,Greece,8,22,20,20,24,20,5,12,"
"
Romania,Austria,14,7,9,5,7,7,2,3,8
Romania,Germany,5,6,1,15,6,3,11,9,2
Romania,Sweden,16,1,4,4,2,2,6,1,12
Romania,France,25,24,22,24,21,25,24,25,"
"
Romania,Russia,24,21,25,16,25,24,16,20,"
"
Romania,Italy,6,16,21,14,13,15,19,17,"
"
Romania,Slovenia,4,15,12,9,15,13,13,14,"
"
Romania,Finland,9,12,7,12,12,12,18,16,"
"
Romania,Spain,15,3,8,2,14,5,8,6,5
Romania,Switzerland,1,18,2,8,11,4,7,5,6
Romania,Hungary,13,4,15,11,1,8,1,2,10
Romania,Malta,12,14,16,17,19,17,20,18,"
"
Romania,Denmark,3,2,5,1,3,1,12,7,4
Romania,The Netherlands,18,8,6,10,10,11,3,8,3
Romania,San Marino,21,20,24,22,18,22,17,19,"
"
Romania,United Kingdom,2,17,17,18,17,16,14,15,"
"
Russia,Ukraine,9,5,7,8,2,6,4,4,7
Russia,Belarus,2,1,3,2,1,1,2,1,12
Russia,Azerbaijan,1,7,1,1,3,2,5,2,10
Russia,Iceland,13,17,16,16,18,13,11,10,1
Russia,Norway,10,18,12,3,12,10,15,11,"
"
Russia,Romania,19,19,24,18,20,22,21,23,"
"
Russia,Armenia,6,9,10,10,5,8,1,3,8
Russia,Montenegro,24,11,19,12,16,15,20,19,"
"
Russia,Poland,16,25,23,19,19,24,13,20,"
"
Russia,Greece,3,2,6,5,7,3,12,7,4
Russia,Austria,7,10,9,21,9,11,3,6,5
Russia,Germany,21,12,20,25,23,23,14,21,"
"
Russia,Sweden,14,24,11,22,13,17,6,9,2
Russia,France,18,21,22,13,24,21,23,24,"
"
Russia,Italy,23,22,25,20,25,25,25,25,"
"
Russia,Slovenia,15,14,18,14,22,16,17,17,"
"
Russia,Finland,22,20,14,11,14,14,16,16,"
"
Russia,Spain,17,23,21,15,17,19,18,22,"
"
Russia,Switzerland,20,15,17,24,21,20,7,12,"
"
Russia,Hungary,4,4,5,6,8,5,8,5,6
Russia,Malta,5,3,4,7,4,4,24,15,"
"
Russia,Denmark,11,16,2,17,10,12,22,18,"
"
Russia,The Netherlands,8,6,8,9,6,7,10,8,3
Russia,San Marino,25,13,15,23,11,18,9,13,"
"
Russia,United Kingdom,12,8,13,4,15,9,19,14,"
"
San Marino,Ukraine,10,20,16,14,4,13,"
",13,"
"
San Marino,Belarus,21,21,10,21,25,22,"
",22,"
"
San Marino,Azerbaijan,3,3,1,7,3,1,"
",1,12
San Marino,Iceland,2,6,9,5,2,3,"
",3,8
San Marino,Norway,19,14,8,13,7,12,"
",12,"
"
San Marino,Romania,24,25,23,24,23,25,"
",25,"
"
San Marino,Armenia,9,1,15,4,1,5,"
",5,6
San Marino,Montenegro,8,13,19,18,18,18,"
",18,"
"
San Marino,Poland,25,23,24,25,6,23,"
",23,"
"
San Marino,Greece,23,16,25,23,9,21,"
",21,"
"
San Marino,Austria,5,22,13,3,24,14,"
",14,"
"
San Marino,Germany,12,5,14,9,20,11,"
",11,"
"
San Marino,Sweden,1,4,6,1,10,2,"
",2,10
San Marino,France,11,15,21,20,15,19,"
",19,"
"
San Marino,Russia,22,24,20,22,22,24,"
",24,"
"
San Marino,Italy,20,10,17,17,12,17,"
",17,"
"
San Marino,Slovenia,15,18,22,19,17,20,"
",20,"
"
San Marino,Finland,17,17,5,8,5,8,"
",8,3
San Marino,Spain,18,12,12,16,16,16,"
",16,"
"
San Marino,Switzerland,16,9,18,11,19,15,"
",15,"
"
San Marino,Hungary,6,2,7,6,8,4,"
",4,7
San Marino,Malta,14,11,2,10,11,7,"
",7,4
San Marino,Denmark,4,19,3,12,21,10,"
",10,1
San Marino,The Netherlands,13,7,4,15,13,9,"
",9,2
San Marino,United Kingdom,7,8,11,2,14,6,"
",6,5
Slovenia,Ukraine,12,22,15,14,9,14,19,20,"
"
Slovenia,Belarus,10,14,13,19,20,17,12,14,"
"
Slovenia,Azerbaijan,11,2,3,3,18,5,25,16,"
"
Slovenia,Iceland,3,6,6,4,4,2,24,12,"
"
Slovenia,Norway,18,5,2,5,5,4,13,6,5
Slovenia,Romania,21,17,12,24,25,23,8,17,"
"
Slovenia,Armenia,24,12,21,16,24,22,20,24,"
"
Slovenia,Montenegro,23,3,10,17,10,12,3,4,7
Slovenia,Poland,9,7,4,15,19,10,14,10,1
Slovenia,Greece,8,25,23,25,23,24,10,21,"
"
Slovenia,Austria,1,1,1,1,1,1,1,1,12
Slovenia,Germany,6,11,8,11,2,6,16,9,2
Slovenia,Sweden,13,15,9,9,6,9,5,3,8
Slovenia,France,5,23,14,21,8,13,23,22,"
"
Slovenia,Russia,20,13,20,10,22,18,15,18,"
"
Slovenia,Italy,14,24,19,18,11,19,6,11,"
"
Slovenia,Finland,22,10,16,13,13,15,18,19,"
"
Slovenia,Spain,4,19,11,12,3,7,11,7,4
Slovenia,Switzerland,19,8,22,6,21,16,4,8,3
Slovenia,Hungary,17,20,24,20,14,21,9,15,"
"
Slovenia,Malta,16,9,7,8,15,11,17,13,"
"
Slovenia,Denmark,2,16,18,7,7,8,7,5,6
Slovenia,The Netherlands,7,4,5,2,12,3,2,2,10
Slovenia,San Marino,25,21,25,22,16,25,22,25,"
"
Slovenia,United Kingdom,15,18,17,23,17,20,21,23,"
"
Spain,Ukraine,11,11,10,7,2,5,8,5,6
Spain,Belarus,16,24,23,20,18,24,22,25,"
"
Spain,Azerbaijan,21,19,16,23,10,19,24,23,"
"
Spain,Iceland,10,5,11,15,7,9,11,10,1
Spain,Norway,4,4,3,21,11,7,19,13,"
"
Spain,Romania,7,13,9,1,16,8,1,3,8
Spain,Armenia,12,10,14,17,12,13,4,7,4
Spain,Montenegro,6,15,6,8,17,11,23,18,"
"
Spain,Poland,15,12,15,24,9,15,6,11,"
"
Spain,Greece,17,14,13,22,20,17,13,14,"
"
Spain,Austria,3,1,2,5,6,2,2,1,12
Spain,Germany,14,22,18,16,22,21,18,21,"
"
Spain,Sweden,1,2,1,2,1,1,5,2,10
Spain,France,25,3,25,19,15,18,14,16,"
"
Spain,Russia,22,21,17,18,23,23,10,17,"
"
Spain,Italy,24,23,19,6,19,20,16,19,"
"
Spain,Slovenia,20,18,21,9,3,14,25,22,"
"
Spain,Finland,19,17,20,13,13,16,20,20,"
"
Spain,Switzerland,18,20,22,14,24,22,9,15,"
"
Spain,Hungary,5,9,12,10,4,4,15,9,2
Spain,Malta,13,6,4,11,8,6,17,12,"
"
Spain,Denmark,8,7,5,12,21,12,7,8,3
Spain,The Netherlands,9,16,7,4,14,10,3,4,7
Spain,San Marino,23,25,24,25,25,25,21,24,"
"
Spain,United Kingdom,2,8,8,3,5,3,12,6,5
Sweden,Ukraine,11,16,11,18,17,13,11,12,"
"
Sweden,Belarus,16,19,21,21,18,22,22,23,"
"
Sweden,Azerbaijan,24,10,17,20,16,20,25,24,"
"
Sweden,Iceland,6,6,13,6,15,8,7,7,4
Sweden,Norway,17,8,5,2,6,5,10,8,3
Sweden,Romania,18,12,24,12,14,16,12,14,"
"
Sweden,Armenia,20,9,9,10,5,9,6,6,5
Sweden,Montenegro,14,13,18,23,22,21,21,20,"
"
Sweden,Poland,4,25,22,22,7,17,3,9,2
Sweden,Greece,9,23,16,14,11,12,13,13,"
"
Sweden,Austria,2,2,2,4,1,1,1,1,12
Sweden,Germany,3,20,12,7,13,10,19,16,"
"
Sweden,France,7,5,8,17,8,7,14,10,1
Sweden,Russia,13,7,19,15,24,14,16,17,"
"
Sweden,Italy,15,24,7,19,21,19,24,21,"
"
Sweden,Slovenia,10,18,23,25,19,23,23,25,"
"
Sweden,Finland,12,17,3,3,10,6,5,5,6
Sweden,Spain,19,14,15,13,23,18,18,18,"
"
Sweden,Switzerland,21,21,20,24,25,25,15,19,"
"
Sweden,Hungary,1,3,1,5,3,2,8,4,7
Sweden,Malta,25,11,14,16,12,15,9,11,"
"
Sweden,Denmark,8,4,10,8,2,4,4,3,8
Sweden,The Netherlands,5,1,4,1,4,3,2,2,10
Sweden,San Marino,23,22,25,11,20,24,20,22,"
"
Sweden,United Kingdom,22,15,6,9,9,11,17,15,"
"
Switzerland,Ukraine,25,20,17,13,12,20,21,22,"
"
Switzerland,Belarus,23,21,20,20,17,23,22,23,"
"
Switzerland,Azerbaijan,24,17,21,8,19,22,25,24,"
"
Switzerland,Iceland,12,12,22,22,13,17,17,17,"
"
Switzerland,Norway,10,10,2,2,3,4,12,6,5
Switzerland,Romania,11,19,18,16,14,15,13,15,"
"
Switzerland,Armenia,15,9,14,9,11,11,10,12,"
"
Switzerland,Montenegro,18,18,19,15,18,21,16,20,"
"
Switzerland,Poland,16,25,9,25,9,18,7,14,"
"
Switzerland,Greece,13,22,25,24,25,24,9,16,"
"
Switzerland,Austria,6,1,8,1,1,1,1,1,12
Switzerland,Germany,17,5,12,12,8,9,4,4,7
Switzerland,Sweden,1,6,7,19,20,8,6,5,6
Switzerland,France,3,15,23,23,10,13,23,19,"
"
Switzerland,Russia,14,24,16,10,21,19,18,21,"
"
Switzerland,Italy,21,14,4,14,22,14,5,9,2
Switzerland,Slovenia,22,16,13,5,23,16,20,18,"
"
Switzerland,Finland,4,4,3,4,4,2,15,7,4
Switzerland,Spain,19,3,6,11,15,10,3,3,8
Switzerland,Hungary,5,13,10,18,16,12,8,10,1
Switzerland,Malta,7,8,15,6,7,6,14,11,"
"
Switzerland,Denmark,9,11,11,7,5,7,11,8,3
Switzerland,The Netherlands,8,2,5,3,2,3,2,2,10
Switzerland,San Marino,20,23,24,21,24,25,24,25,"
"
Switzerland,United Kingdom,2,7,1,17,6,5,19,13,"
"
The Netherlands,Ukraine,10,12,12,14,17,13,15,14,"
"
The Netherlands,Belarus,25,20,16,19,24,20,18,21,"
"
The Netherlands,Azerbaijan,11,4,8,10,11,9,20,15,"
"
The Netherlands,Iceland,7,8,2,4,10,5,6,5,6
The Netherlands,Norway,3,1,3,5,1,2,4,2,10
The Netherlands,Romania,9,24,20,7,16,16,16,17,"
"
The Netherlands,Armenia,4,9,10,8,5,7,3,4,7
The Netherlands,Montenegro,1,13,9,3,4,4,22,12,"
"
The Netherlands,Poland,24,25,22,25,25,25,2,13,"
"
The Netherlands,Greece,22,23,23,22,23,24,11,19,"
"
The Netherlands,Austria,5,3,1,1,2,1,1,1,12
The Netherlands,Germany,19,17,18,16,18,18,17,20,"
"
The Netherlands,Sweden,2,6,4,2,7,3,5,3,8
The Netherlands,France,18,19,24,24,21,22,23,24,"
"
The Netherlands,Russia,17,16,15,20,13,17,14,16,"
"
The Netherlands,Italy,20,22,25,23,22,23,25,25,"
"
The Netherlands,Slovenia,21,18,17,18,15,19,24,23,"
"
The Netherlands,Finland,6,5,6,9,12,8,13,9,2
The Netherlands,Spain,16,15,11,6,9,12,12,11,"
"
The Netherlands,Switzerland,8,14,14,11,8,11,8,8,3
The Netherlands,Hungary,12,10,7,12,6,10,7,7,4
The Netherlands,Malta,13,2,5,13,3,6,10,6,5
The Netherlands,Denmark,14,7,13,17,19,14,9,10,1
The Netherlands,San Marino,23,21,21,21,20,21,21,22,"
"
The Netherlands,United Kingdom,15,11,19,15,14,15,19,18,"
"
Ukraine,Belarus,3,8,10,3,3,5,4,5,6
Ukraine,Azerbaijan,9,9,17,9,10,9,10,10,1
Ukraine,Iceland,25,22,22,24,24,25,16,21,"
"
Ukraine,Norway,23,15,25,23,23,23,13,19,"
"
Ukraine,Romania,12,11,21,13,12,13,19,15,"
"
Ukraine,Armenia,8,2,4,8,8,6,2,2,10
Ukraine,Montenegro,22,20,23,20,17,21,23,24,"
"
Ukraine,Poland,6,21,11,6,7,8,1,4,7
Ukraine,Greece,7,13,16,7,6,7,15,11,"
"
Ukraine,Austria,5,3,3,5,5,3,5,3,8
Ukraine,Germany,1,4,2,1,1,2,9,6,5
Ukraine,Sweden,2,1,1,2,2,1,6,1,12
Ukraine,France,13,24,19,19,16,20,22,22,"
"
Ukraine,Russia,10,14,9,10,11,10,3,7,4
Ukraine,Italy,24,25,13,25,25,24,25,25,"
"
Ukraine,Slovenia,14,18,14,14,14,14,18,14,"
"
Ukraine,Finland,20,10,6,11,9,12,20,16,"
"
Ukraine,Spain,4,5,8,4,4,4,14,9,2
Ukraine,Switzerland,16,16,15,16,19,18,8,12,"
"
Ukraine,Hungary,11,7,7,12,18,11,7,8,3
Ukraine,Malta,17,19,18,17,13,19,24,23,"
"
Ukraine,Denmark,15,12,20,18,15,16,21,20,"
"
Ukraine,The Netherlands,21,17,5,15,21,15,12,13,"
"
Ukraine,San Marino,19,23,24,21,20,22,11,17,"
"
Ukraine,United Kingdom,18,6,12,22,22,17,17,18,"
"
United Kingdom,Ukraine,22,16,20,18,7,18,12,16,"
"
United Kingdom,Belarus,17,7,17,25,19,19,19,21,"
"
United Kingdom,Azerbaijan,5,4,25,13,6,8,24,18,"
"
United Kingdom,Iceland,8,14,22,14,13,15,4,7,4
United Kingdom,Norway,7,22,19,11,5,11,17,13,"
"
United Kingdom,Romania,19,11,18,20,22,22,9,17,"
"
United Kingdom,Armenia,20,24,23,16,18,24,16,23,"
"
United Kingdom,Montenegro,16,10,15,23,24,21,25,25,"
"
United Kingdom,Poland,25,25,24,24,25,25,1,11,"
"
United Kingdom,Greece,13,18,8,6,23,14,7,9,2
United Kingdom,Austria,1,8,9,2,4,3,3,1,12
United Kingdom,Germany,18,21,16,9,8,16,20,19,"
"
United Kingdom,Sweden,6,12,10,3,1,5,8,4,7
United Kingdom,France,24,23,12,17,21,23,15,20,"
"
United Kingdom,Russia,14,9,6,19,14,10,18,14,"
"
United Kingdom,Italy,23,19,7,12,15,17,22,22,"
"
United Kingdom,Slovenia,4,6,4,8,16,6,23,15,"
"
United Kingdom,Finland,2,13,3,1,3,2,11,5,6
United Kingdom,Spain,12,3,1,5,10,4,10,6,5
United Kingdom,Switzerland,11,17,11,7,12,9,13,10,1
United Kingdom,Hungary,15,15,13,10,11,12,14,12,"
"
United Kingdom,Malta,3,2,2,4,9,1,5,2,10
United Kingdom,Denmark,10,5,14,21,17,13,6,8,3
United Kingdom,The Netherlands,9,1,5,15,20,7,2,3,8
United Kingdom,San Marino,21,20,21,22,2,20,21,24,"
"
