"","Year","Country","Place","Points"
"267",1998,"Croatia",5,131
"268",1998,"Greece",20,12
"269",1998,"France",24,3
"270",1998,"Spain",16,21
"271",1998,"Switzerland",25,0
"272",1998,"Slovakia",21,8
"273",1998,"Poland",17,19
"274",1998,"Israel",1,172
"275",1998,"Germany",7,86
"276",1998,"Malta",3,165
"277",1998,"Hungary",23,4
"278",1998,"Slovenia",18,17
"279",1998,"Ireland",9,64
"280",1998,"Portugal",12,36
"281",1998,"Romania",22,6
"282",1998,"United Kingdom",2,166
"283",1998,"Cyprus",11,37
"284",1998,"Netherlands",4,150
"285",1998,"Sweden",10,53
"286",1998,"Belgium",6,122
"287",1998,"Finland",15,22
"288",1998,"Norway",8,79
"289",1998,"Estonia",12,36
"290",1998,"Turkey",14,25
"291",1998,"Macedonia",19,16
"244",1999,"Lithuania",20,13
"245",1999,"Belgium",13,38
"246",1999,"Spain",23,1
"247",1999,"Croatia",4,118
"248",1999,"United Kingdom",12,38
"249",1999,"Slovenia",11,50
"250",1999,"Turkey",16,21
"251",1999,"Norway",14,35
"252",1999,"Denmark",8,71
"253",1999,"France",19,14
"254",1999,"Netherlands",8,71
"255",1999,"Poland",18,17
"256",1999,"Iceland",2,146
"257",1999,"Cyprus",22,2
"258",1999,"Sweden",1,163
"259",1999,"Portugal",21,12
"260",1999,"Ireland",17,18
"261",1999,"Austria",10,65
"262",1999,"Israel",5,93
"263",1999,"Malta",15,32
"264",1999,"Germany",3,140
"265",1999,"Bosnia and Herzegovina",7,86
"266",1999,"Estonia",6,90
"220",2000,"Israel",22,7
"221",2000,"Netherlands",13,40
"222",2000,"United Kingdom",16,28
"223",2000,"Estonia",4,98
"224",2000,"France",23,5
"225",2000,"Romania",17,25
"226",2000,"Malta",8,73
"227",2000,"Norway",11,57
"228",2000,"Russia",2,155
"229",2000,"Belgium",24,2
"230",2000,"Cyprus",21,8
"231",2000,"Iceland",12,45
"232",2000,"Spain",18,18
"233",2000,"Denmark",1,195
"234",2000,"Germany",5,96
"235",2000,"Switzerland",20,14
"236",2000,"Croatia",9,70
"237",2000,"Sweden",7,88
"238",2000,"Macedonia",15,29
"239",2000,"Finland",18,18
"240",2000,"Latvia",3,136
"241",2000,"Turkey",10,59
"242",2000,"Ireland",6,92
"243",2000,"Austria",14,34
"197",2001,"Netherlands",18,16
"198",2001,"Iceland",22,3
"199",2001,"Bosnia and Herzegovina",14,29
"200",2001,"Norway",22,3
"201",2001,"Israel",16,25
"202",2001,"Russia",12,37
"203",2001,"Sweden",5,100
"204",2001,"Lithuania",13,35
"205",2001,"Latvia",18,16
"206",2001,"Croatia",10,42
"207",2001,"Portugal",17,18
"208",2001,"Ireland",21,6
"209",2001,"Spain",6,76
"210",2001,"France",4,142
"211",2001,"Turkey",11,41
"212",2001,"United Kingdom",15,28
"213",2001,"Slovenia",7,70
"214",2001,"Poland",20,11
"215",2001,"Germany",8,66
"216",2001,"Estonia",1,198
"217",2001,"Malta",9,48
"218",2001,"Greece",3,147
"219",2001,"Denmark",2,177
"173",2002,"Cyprus",6,85
"174",2002,"United Kingdom",3,111
"175",2002,"Austria",18,26
"176",2002,"Greece",17,27
"177",2002,"Spain",7,81
"178",2002,"Croatia",11,44
"179",2002,"Russia",10,55
"180",2002,"Estonia",3,111
"181",2002,"Macedonia",19,25
"182",2002,"Israel",12,37
"183",2002,"Switzerland",22,15
"184",2002,"Sweden",8,72
"185",2002,"Finland ",20,24
"186",2002,"Denmark",24,7
"187",2002,"Bosnia and Herzegovina",13,33
"188",2002,"Belgium",13,33
"189",2002,"France",5,104
"190",2002,"Germany",21,17
"191",2002,"Turkey",16,29
"192",2002,"Malta",2,164
"193",2002,"Romania",9,71
"194",2002,"Slovenia",13,33
"195",2002,"Latvia",1,176
"196",2002,"Lithuania",23,12
"147",2003,"Iceland",8,81
"148",2003,"Austria",6,101
"149",2003,"Ireland",11,53
"150",2003,"Turkey",1,167
"151",2003,"Malta",25,4
"152",2003,"Bosnia and Herzegovina",16,27
"153",2003,"Portugal",22,13
"154",2003,"Croatia",15,29
"155",2003,"Cyprus",20,15
"156",2003,"Germany",11,53
"157",2003,"Russia",3,164
"158",2003,"Spain",8,81
"159",2003,"Israel",19,17
"160",2003,"Netherlands",13,45
"161",2003,"United Kingdom",26,0
"162",2003,"Ukraine",14,30
"163",2003,"Greece",17,25
"164",2003,"Norway",4,123
"165",2003,"France",18,19
"166",2003,"Poland",7,90
"167",2003,"Latvia",24,5
"168",2003,"Belgium",2,165
"169",2003,"Estonia",21,14
"170",2003,"Romania",10,73
"171",2003,"Sweden",5,107
"172",2003,"Slovenia",23,7
"123",2004,"Spain",10,87
"124",2004,"Austria",21,9
"125",2004,"Norway",24,3
"126",2004,"France",15,40
"127",2004,"Serbia and Montenegro",2,263
"128",2004,"Malta",12,50
"129",2004,"Netherlands",20,11
"130",2004,"Germany",8,93
"131",2004,"Albania",7,106
"132",2004,"Ukraine",1,280
"133",2004,"Croatia",12,50
"134",2004,"Bosnia and Herzegovina",9,91
"135",2004,"Belgium",22,7
"136",2004,"Russia",11,67
"137",2004,"Macedonia",14,47
"138",2004,"Greece",3,252
"139",2004,"Iceland",19,16
"140",2004,"Ireland",22,7
"141",2004,"Poland",17,27
"142",2004,"United Kingdom",16,29
"143",2004,"Cyprus",5,170
"144",2004,"Turkey",4,195
"145",2004,"Romania",18,18
"146",2004,"Sweden",5,170
"99",2005,"Hungary",12,97
"100",2005,"United Kingdom",22,18
"101",2005,"Malta",2,192
"102",2005,"Romania",3,158
"103",2005,"Norway",9,125
"104",2005,"Turkey",13,92
"105",2005,"Moldova",6,148
"106",2005,"Albania",16,53
"107",2005,"Cyprus",18,46
"108",2005,"Spain",21,28
"109",2005,"Israel",4,154
"110",2005,"Serbia and Montenegro",7,137
"111",2005,"Denmark",10,125
"112",2005,"Sweden",19,30
"113",2005,"Macedonia",17,52
"114",2005,"Ukraine",19,30
"115",2005,"Germany",24,4
"116",2005,"Croatia",11,115
"117",2005,"Greece",1,230
"118",2005,"Russia",15,57
"119",2005,"Bosnia and Herzegovina",14,79
"120",2005,"Switzerland",8,128
"121",2005,"Latvia",5,153
"122",2005,"France",23,11
"75",2006,"Switzerland",16,30
"76",2006,"Moldova",20,22
"77",2006,"Israel",23,4
"78",2006,"Latvia",16,30
"79",2006,"Norway",14,36
"80",2006,"Spain",21,18
"81",2006,"Malta",24,1
"82",2006,"Germany",14,36
"83",2006,"Denmark",18,26
"84",2006,"Russia",2,248
"85",2006,"Macedonia",12,56
"86",2006,"Romania",4,176
"87",2006,"Bosnia and Herzegovina",3,229
"88",2006,"Lithuania",6,162
"89",2006,"United Kingdom",19,25
"90",2006,"Greece",9,128
"91",2006,"Finland ",1,292
"92",2006,"Ukraine",7,145
"93",2006,"France",22,5
"94",2006,"Croatia",12,56
"95",2006,"Ireland",10,93
"96",2006,"Sweden",5,170
"97",2006,"Turkey",11,91
"98",2006,"Armenia",8,129
"51",2007,"Bosnia and Herzegovina",11,106
"52",2007,"Spain",20,43
"53",2007,"Belarus",6,145
"54",2007,"Ireland",24,5
"55",2007,"Finland ",17,53
"56",2007,"Macedonia",14,73
"57",2007,"Slovenia",15,66
"58",2007,"Hungary",9,128
"59",2007,"Lithuania",21,28
"60",2007,"Greece",7,139
"61",2007,"Georgia",12,97
"62",2007,"Sweden",18,51
"63",2007,"France",22,19
"64",2007,"Latvia",16,54
"65",2007,"Russia",3,207
"66",2007,"Germany",19,49
"67",2007,"Serbia",1,268
"68",2007,"Ukraine",2,235
"69",2007,"United Kingdom",23,19
"70",2007,"Romania",13,84
"71",2007,"Bulgaria",5,157
"72",2007,"Turkey",4,163
"73",2007,"Armenia",8,138
"74",2007,"Moldova",10,107
"26",2008,"Romania",20,45
"27",2008,"United Kingdom",25,14
"28",2008,"Albania",17,43
"29",2008,"Germany",23,14
"30",2008,"Armenia",4,198
"31",2008,"Bosnia and Herzegovina",10,105
"32",2008,"Israel",9,124
"33",2008,"Finland ",22,35
"34",2008,"Croatia",21,42
"35",2008,"Poland",24,14
"36",2008,"Iceland",14,64
"37",2008,"Turkey",7,131
"38",2008,"Portugal",13,69
"39",2008,"Latvia",12,83
"40",2008,"Sweden",18,47
"41",2008,"Denmark",15,60
"42",2008,"Georgia",11,83
"43",2008,"Ukraine",2,226
"44",2008,"France",19,47
"45",2008,"Azerbaijan",8,124
"46",2008,"Greece",3,215
"47",2008,"Spain",16,55
"48",2008,"Serbia",6,150
"49",2008,"Russia",1,266
"50",2008,"Norway",5,182
"1",2009,"Lithuania",23,23
"2",2009,"Israel",16,53
"3",2009,"France",8,107
"4",2009,"Sweden",21,33
"5",2009,"Croatia",18,45
"6",2009,"Portugal",15,57
"7",2009,"Iceland",2,218
"8",2009,"Greece",7,120
"9",2009,"Armenia",10,92
"10",2009,"Russia",11,91
"11",2009,"Azerbaijan",3,207
"12",2009,"Bosnia and Herzegovina",9,106
"13",2009,"Moldova",14,69
"14",2009,"Malta",22,31
"15",2009,"Estonia",6,129
"16",2009,"Denmark",13,74
"17",2009,"Germany",20,35
"18",2009,"Turkey",4,177
"19",2009,"Albania",17,48
"20",2009,"Norway",1,387
"21",2009,"Ukraine",12,76
"22",2009,"Romania",19,40
"23",2009,"United Kingdom",5,173
"24",2009,"Finland ",25,22
"25",2009,"Spain",23,23
"292",2010,"Azerbaijan",5,145
"293",2010,"Spain",15,68
"294",2010,"Norway",20,35
"295",2010,"Moldova",22,27
"296",2010,"Cyprus",21,27
"297",2010,"Bosnia and Herzegovina",17,51
"298",2010,"Belgium",6,143
"299",2010,"Serbia",13,72
"300",2010,"Belarus",24,18
"301",2010,"Ireland",23,25
"302",2010,"Greece",8,140
"303",2010,"United Kingdom",25,10
"304",2010,"Georgia",9,136
"305",2010,"Turkey",2,170
"306",2010,"Albania",16,62
"307",2010,"Iceland",19,41
"308",2010,"Ukraine",10,108
"309",2010,"France",12,82
"310",2010,"Romania",3,162
"311",2010,"Russia",11,90
"312",2010,"Armenia",7,141
"313",2010,"Germany",1,246
"314",2010,"Portugal",18,43
"315",2010,"Israel",14,71
"316",2010,"Denmark",4,149
"317",2011,"Finland",21,57
"318",2011,"Bosnia and Herzegovina",6,125
"319",2011,"Denmark",5,134
"320",2011,"Lithuania",19,63
"321",2011,"Hungary",22,53
"322",2011,"Ireland",8,119
"323",2011,"Sweden",3,185
"324",2011,"Estonia",24,44
"325",2011,"Greece",7,120
"326",2011,"Russia",16,77
"327",2011,"France",15,82
"328",2011,"Italy",2,189
"329",2011,"Switzerland",25,19
"330",2011,"United Kingdom",11,100
"331",2011,"Moldova",12,97
"332",2011,"Germany",10,107
"333",2011,"Romania",17,77
"334",2011,"Austria",18,64
"335",2011,"Azerbaijan",1,221
"336",2011,"Slovenia",13,96
"337",2011,"Iceland",20,61
"338",2011,"Spain",23,50
"339",2011,"Ukraine",4,159
"340",2011,"Serbia",14,85
"341",2011,"Georgia",9,110
"342",2012,"United Kingdom",25,12
"343",2012,"Hungary",24,19
"344",2012,"Albania",5,146
"345",2012,"Lithuania",14,70
"346",2012,"Bosnia and Herzegovina",18,55
"347",2012,"Russia",2,259
"348",2012,"Iceland",20,46
"349",2012,"Cyprus",16,65
"350",2012,"France",22,21
"351",2012,"Italy",9,101
"352",2012,"Estonia",6,120
"353",2012,"Norway",26,7
"354",2012,"Azerbaijan",4,150
"355",2012,"Romania",12,71
"356",2012,"Denmark",23,21
"357",2012,"Greece",17,64
"358",2012,"Sweden",1,372
"359",2012,"Turkey",7,112
"360",2012,"Spain",10,97
"361",2012,"Germany",8,110
"362",2012,"Malta",21,41
"363",2012,"Macedonia",13,71
"364",2012,"Ireland",19,46
"365",2012,"Serbia",3,214
"366",2012,"Ukraine",15,65
"367",2012,"Moldova",11,81
"368",2013,"France",23,14
"369",2013,"Lithuania",22,17
"370",2013,"Moldova",11,71
"371",2013,"Finland",24,13
"372",2013,"Spain",25,8
"373",2013,"Belgium",12,71
"374",2013,"Estonia",20,19
"375",2013,"Belarus",16,48
"376",2013,"Malta",8,120
"377",2013,"Russia",5,174
"378",2013,"Germany",21,18
"379",2013,"Armenia",18,41
"380",2013,"Netherlands",9,114
"381",2013,"Romania",13,65
"382",2013,"United Kingdom",19,23
"383",2013,"Sweden",14,62
"384",2013,"Hungary",10,84
"385",2013,"Denmark",1,281
"386",2013,"Iceland",17,47
"387",2013,"Azerbaijan",2,234
"388",2013,"Greece",6,152
"389",2013,"Ukraine",3,214
"390",2013,"Italy",7,126
"391",2013,"Norway",4,191
"392",2013,"Georgia",15,50
"393",2013,"Ireland",26,5
"394",2014,"Ukraine",6,113
"395",2014,"Belarus",16,43
"396",2014,"Azerbaijan",22,33
"397",2014,"Iceland",15,58
"398",2014,"Norway",8,88
"399",2014,"Romania",12,72
"400",2014,"Armenia",4,174
"401",2014,"Montenegro",19,37
"402",2014,"Poland",14,62
"403",2014,"Greece",20,35
"404",2014,"Austria",1,290
"405",2014,"Germany",18,39
"406",2014,"Sweden",3,218
"407",2014,"France",26,2
"408",2014,"Russia",7,89
"409",2014,"Italy",21,33
"410",2014,"Slovenia",25,9
"411",2014,"Finland",11,72
"412",2014,"Spain",10,74
"413",2014,"Switzerland",13,64
"414",2014,"Hungary",5,143
"415",2014,"Malta",23,32
"416",2014,"Denmark",9,74
"417",2014,"Netherlands",2,238
"418",2014,"San Marino",24,14
"419",2014,"United Kingdom",17,40
"420",2015,"Slovenia",14,39
"421",2015,"France",25,4
"422",2015,"Israel",9,97
"423",2015,"Estonia",7,106
"424",2015,"United Kingdom",24,5
"425",2015,"Armenia",16,34
"426",2015,"Lithuania",18,30
"427",2015,"Serbia",10,53
"428",2015,"Norway",8,102
"429",2015,"Sweden",1,365
"430",2015,"Cyprus",22,11
"431",2015,"Australia",5,196
"432",2015,"Belgium",4,217
"433",2015,"Austria",26,0
"434",2015,"Greece",19,23
"435",2015,"Montenegro",13,44
"436",2015,"Germany",27,0
"437",2015,"Poland",23,10
"438",2015,"Latvia",6,186
"439",2015,"Romania",15,35
"440",2015,"Spain",21,15
"441",2015,"Hungary",20,19
"442",2015,"Georgia",11,51
"443",2015,"Azerbaijan",12,49
"444",2015,"Russia",2,303
"445",2015,"Albania",17,34
"446",2015,"Italy",3,292
"447",2016,"Belgium",10,181
"448",2016,"Czech Republic",25,41
"449",2016,"Netherlands",11,153
"450",2016,"Azerbaijan",17,117
"451",2016,"Hungary",19,108
"452",2016,"Italy",16,124
"453",2016,"Israel",14,135
"454",2016,"Bulgaria",4,307
"455",2016,"Sweden",5,261
"456",2016,"Germany",26,11
"457",2016,"France",6,257
"458",2016,"Poland",8,229
"459",2016,"Australia",2,511
"460",2016,"Cyprus",21,96
"461",2016,"Serbia",18,115
"462",2016,"Lithuania",9,200
"463",2016,"Croatia",23,73
"464",2016,"Russia",3,491
"465",2016,"Spain",22,77
"466",2016,"Latvia",15,132
"467",2016,"Ukraine",1,534
"468",2016,"Malta",12,153
"469",2016,"Georgia",20,104
"470",2016,"Austria",13,151
"471",2016,"United Kingdom",24,62
"472",2016,"Armenia",7,249
